year,Country,normalized_tuple_values,income_group,natural,physical,societal
2017,Afghanistan,"(0.38, 0.34, 0.28)",L,0.38138479,0.340522134,0.278093076
2017,Albania,"(0.4, 0.2, 0.39)",UM,0.40487777,0.200950364,0.394171867
2017,Algeria,"(0.2, 0.76, 0.03)",UM,0.204246504,0.761418954,0.034334542
2017,Andorra,"(nan, nan, nan)",H,0.5,0,0.5
2017,Angola,"(0.46, 0.25, 0.29)",LM,0.460207612,0.249134948,0.290657439
2017,Antigua & Barbuda,"(0.33, 0.33, 0.33)",unknown,0.333333333,0.333333333,0.333333333
2017,Argentina,"(0.57, 0.26, 0.18)",H,0.565727055,0.258752499,0.175520445
2017,Armenia,"(0.3, 0.49, 0.21)",UM,0.304821968,0.485612929,0.209565103
2017,Australia,"(0.5, 0.05, 0.44)",H,0.504413901,0.051123031,0.444463068
2017,Austria,"(0.32, 0.31, 0.37)",H,0.322980054,0.310925458,0.366094488
2017,Azerbaijan,"(0.26, 0.63, 0.11)",UM,0.25990099,0.626237624,0.113861386
2017,Bahamas,"(0.42, 0.28, 0.3)",unknown,0.42,0.28,0.3
2017,Bahrain,"(0.38, 0.29, 0.33)",H,0.381565907,0.291377602,0.327056492
2017,Bangladesh,"(0.52, 0.38, 0.09)",LM,0.52387189,0.38226773,0.09386038
2017,Barbados,"(0.37, 0.32, 0.31)",H,0.369275362,0.320289855,0.310434783
2017,Belgium,"(0.36, 0.18, 0.46)",H,0.35624871,0.179235318,0.464515972
2017,Belize,"(nan, nan, nan)",UM,0.466666667,0,0.533333333
2017,Benin,"(0.59, 0.3, 0.11)",L,0.589173311,0.300041964,0.110784725
2017,Bermuda,"(0.29, 0.35, 0.35)",H,0.294117647,0.352941176,0.352941176
2017,Bhutan,"(0.44, 0.32, 0.24)",LM,0.43902439,0.320557491,0.240418118
2017,Bolivia,"(0.53, 0.22, 0.26)",LM,0.525547445,0.218978102,0.255474453
2017,Bosnia & Herzegovina,"(0.32, 0.36, 0.32)",unknown,0.324552547,0.360440569,0.315006884
2017,Botswana,"(0.4, 0.28, 0.32)",UM,0.403028823,0.279433317,0.31753786
2017,Brazil,"(0.62, 0.13, 0.25)",UM,0.619381704,0.128097744,0.252520552
2017,Brunei,"(0.36, 0.27, 0.37)",unknown,0.360573924,0.265127885,0.374298191
2017,Bulgaria,"(0.41, 0.5, 0.09)",UM,0.413436693,0.496124031,0.090439276
2017,Burkina Faso,"(0.56, 0.27, 0.16)",L,0.561497326,0.274064171,0.164438503
2017,Burma,"(0.48, 0.12, 0.4)",unknown,0.47826087,0.123188406,0.398550725
2017,Burundi,"(0.41, 0.19, 0.4)",L,0.41038526,0.18760469,0.40201005
