year,Country,normalized_tuple_values,income_group,natural,physical,societal
2017,Angola,"(0.46, 0.25, 0.29)",LM,0.460207612,0.249134948,0.290657439
2017,Bangladesh,"(0.52, 0.38, 0.09)",LM,0.52387189,0.38226773,0.09386038
2017,Bhutan,"(0.44, 0.32, 0.24)",LM,0.43902439,0.320557491,0.240418118
2017,Bolivia,"(0.53, 0.22, 0.26)",LM,0.525547445,0.218978102,0.255474453
2017,Cambodia,"(0.53, 0.2, 0.28)",LM,0.526349614,0.197943445,0.275706941
2017,Cameroon,"(0.5, 0.36, 0.14)",LM,0.504310345,0.355603448,0.140086207
2017,Djibouti,"(nan, nan, nan)",LM,0.5,0.5,0
2017,El Salvador,"(0.32, 0.31, 0.37)",LM,0.318949343,0.30956848,0.371482176
2017,Georgia,"(0.33, 0.38, 0.29)",LM,0.331635675,0.375222077,0.293142248
2017,India,"(0.25, 0.71, 0.03)",LM,0.253540429,0.71265418,0.033805391
2017,Indonesia,"(0.56, 0.26, 0.18)",LM,0.556053812,0.263079223,0.180866966
2017,Kenya,"(0.86, 0.0, 0.14)",LM,0.859872611,0,0.140127389
2017,Kiribati,"(nan, nan, nan)",LM,0.5,0,0.5
2017,Lesotho,"(0.28, 0.36, 0.36)",LM,0.277777778,0.361111111,0.361111111
2017,Mauritania,"(0.48, 0.52, 0.0)",LM,0.482758621,0.517241379,0
2017,Mongolia,"(0.53, 0.21, 0.26)",LM,0.530731707,0.206271777,0.262996516
2017,Morocco,"(0.36, 0.54, 0.1)",LM,0.362774155,0.53526971,0.101956135
2017,Nicaragua,"(0.46, 0.14, 0.4)",LM,0.464046021,0.137104506,0.398849473
2017,Nigeria,"(0.61, 0.2, 0.19)",LM,0.612461335,0.1979673,0.189571365
2017,Pakistan,"(0.37, 0.58, 0.05)",LM,0.371681142,0.577998949,0.050319909
2017,Papua New Guinea,"(0.52, 0.11, 0.36)",LM,0.524642289,0.113672496,0.361685215
2017,Philippines,"(0.61, 0.09, 0.3)",LM,0.605688046,0.091897497,0.302414457
2017,Solomon Islands,"(nan, nan, nan)",LM,0.448275862,0,0.551724138
2017,Sri Lanka,"(0.55, 0.17, 0.28)",LM,0.552748886,0.170381377,0.276869737
2017,Sudan,"(0.43, 0.3, 0.27)",LM,0.433831991,0.299194476,0.266973533
2017,Tunisia,"(0.4, 0.51, 0.09)",LM,0.404342943,0.509796581,0.085860477
2017,Ukraine,"(0.13, 0.85, 0.03)",LM,0.12711756,0.845159993,0.027722447
2017,Uzbekistan,"(0.27, 0.51, 0.22)",LM,0.271084337,0.512048193,0.21686747
2017,Vanuatu,"(nan, nan, nan)",LM,0.5,0,0.5
2017,Vietnam,"(0.38, 0.6, 0.02)",LM,0.375765827,0.602791014,0.021443159
2017,Zambia,"(0.59, 0.0, 0.41)",LM,0.585798817,0,0.414201183
