year,Country,normalized_tuple_values,income_group,natural,physical,societal
2017,Afghanistan,"(0.38, 0.34, 0.28)",L,0.38138479,0.340522134,0.278093076
2017,Benin,"(0.59, 0.3, 0.11)",L,0.589173311,0.300041964,0.110784725
2017,Burkina Faso,"(0.56, 0.27, 0.16)",L,0.561497326,0.274064171,0.164438503
2017,Burundi,"(0.41, 0.19, 0.4)",L,0.41038526,0.18760469,0.40201005
2017,Central African Republic,"(0.33, 0.33, 0.33)",L,0.333333333,0.333333333,0.333333333
2017,Chad,"(0.3, 0.35, 0.35)",L,0.3,0.35,0.35
2017,Comoros,"(nan, nan, nan)",L,0.5,0.5,0
2017,Eritrea,"(0.31, 0.34, 0.34)",L,0.310344828,0.344827586,0.344827586
2017,Ethiopia,"(0.78, 0.04, 0.18)",L,0.784222196,0.035126619,0.180651185
2017,Guinea,"(0.45, 0.19, 0.36)",L,0.445269017,0.192949907,0.361781076
2017,Guinea-Bissau,"(nan, nan, nan)",L,0.484848485,0,0.515151515
2017,Haiti,"(0.48, 0.0, 0.52)",L,0.479452055,0,0.520547945
2017,Madagascar,"(0.52, 0.08, 0.4)",L,0.522727273,0.079545455,0.397727273
2017,Malawi,"(0.64, 0.0, 0.36)",L,0.636170213,0,0.363829787
2017,Mali,"(0.68, 0.0, 0.32)",L,0.677083333,0,0.322916667
2017,Mozambique,"(0.51, 0.2, 0.29)",L,0.506053269,0.201827697,0.292119035
2017,Nepal,"(0.75, 0.04, 0.21)",L,0.74546371,0.042842742,0.211693548
2017,Niger,"(0.4, 0.28, 0.32)",L,0.40063593,0.276629571,0.322734499
2017,Rwanda,"(0.53, 0.1, 0.36)",L,0.533536585,0.103658537,0.362804878
2017,Senegal,"(0.5, 0.18, 0.32)",L,0.498251748,0.179195804,0.322552448
2017,Sierra Leone,"(0.54, 0.0, 0.46)",L,0.536277603,0,0.463722397
2017,Somalia,"(nan, nan, nan)",L,0.538461538,0,0.461538462
2017,South Sudan,"(0.38, 0.25, 0.38)",L,0.375,0.25,0.375
2017,Tajikistan,"(0.35, 0.37, 0.27)",L,0.353741497,0.37414966,0.272108844
2017,Tanzania,"(0.64, 0.07, 0.29)",L,0.638709677,0.067741935,0.293548387
2017,Togo,"(0.41, 0.26, 0.33)",L,0.407185629,0.263473054,0.329341317
2017,Uganda,"(0.62, 0.11, 0.28)",L,0.618808535,0.105435937,0.275755528
2017,Zimbabwe,"(0.53, 0.11, 0.36)",L,0.527272727,0.109090909,0.363636364
