year,Country,normalized_tuple_values,income_group,natural,physical,societal
2017,Albania,"(0.4, 0.2, 0.39)",UM,0.40487777,0.200950364,0.394171867
2017,Algeria,"(0.2, 0.76, 0.03)",UM,0.204246504,0.761418954,0.034334542
2017,Armenia,"(0.3, 0.49, 0.21)",UM,0.304821968,0.485612929,0.209565103
2017,Azerbaijan,"(0.26, 0.63, 0.11)",UM,0.25990099,0.626237624,0.113861386
2017,Belize,"(nan, nan, nan)",UM,0.466666667,0,0.533333333
2017,Botswana,"(0.4, 0.28, 0.32)",UM,0.403028823,0.279433317,0.31753786
2017,Brazil,"(0.62, 0.13, 0.25)",UM,0.619381704,0.128097744,0.252520552
2017,Bulgaria,"(0.41, 0.5, 0.09)",UM,0.413436693,0.496124031,0.090439276
2017,China,"(0.2, 0.75, 0.05)",UM,0.196954492,0.748560147,0.054485361
2017,Colombia,"(0.51, 0.25, 0.24)",UM,0.511760569,0.247940055,0.240299376
2017,Costa Rica,"(0.58, 0.19, 0.22)",UM,0.582857143,0.194285714,0.222857143
2017,Cuba,"(0.44, 0.34, 0.22)",UM,0.440516468,0.337222951,0.222260581
2017,Dominican Republic,"(0.37, 0.27, 0.36)",UM,0.367517401,0.269141531,0.363341067
2017,Ecuador,"(0.6, 0.18, 0.22)",UM,0.600357356,0.183442525,0.216200119
2017,Equatorial Guinea,"(nan, nan, nan)",UM,1,0,0
2017,Fiji,"(0.38, 0.25, 0.37)",UM,0.379310345,0.252873563,0.367816092
2017,Gabon,"(0.43, 0.28, 0.29)",UM,0.430481283,0.280748663,0.288770053
2017,Grenada,"(0.23, 0.44, 0.32)",UM,0.232067511,0.443037975,0.324894515
2017,Guatemala,"(0.43, 0.06, 0.51)",UM,0.429447853,0.064417178,0.506134969
2017,Guyana,"(0.36, 0.36, 0.29)",UM,0.357142857,0.357142857,0.285714286
2017,Iraq,"(0.18, 0.76, 0.07)",UM,0.177302033,0.755414118,0.067283849
2017,Jamaica,"(0.49, 0.11, 0.4)",UM,0.494505495,0.10989011,0.395604396
2017,Jordan,"(0.3, 0.4, 0.29)",UM,0.30455034,0.403081333,0.292368327
2017,Kazakhstan,"(0.23, 0.58, 0.19)",UM,0.231205138,0.57869286,0.190102002
2017,Libya,"(0.44, 0.34, 0.22)",UM,0.439142827,0.339913438,0.220943735
2017,Malaysia,"(0.45, 0.45, 0.1)",UM,0.454819536,0.44541945,0.099761015
2017,Maldives,"(nan, nan, nan)",UM,0.5,0,0.5
2017,Marshall Islands,"(nan, nan, nan)",UM,0.5,0,0.5
2017,Mauritius,"(0.26, 0.4, 0.34)",UM,0.25647876,0.399412236,0.344109003
2017,Mexico,"(0.55, 0.41, 0.04)",UM,0.546379348,0.409100853,0.044519799
2017,Montenegro,"(0.4, 0.24, 0.36)",UM,0.397993311,0.240802676,0.361204013
2017,Namibia,"(0.54, 0.23, 0.23)",UM,0.53643144,0.229489386,0.234079174
2017,Nauru,"(nan, nan, nan)",UM,1,0,0
2017,Paraguay,"(0.42, 0.25, 0.33)",UM,0.417200366,0.249771272,0.333028362
2017,Peru,"(0.59, 0.07, 0.34)",UM,0.593157231,0.06826221,0.33858056
2017,Romania,"(0.23, 0.54, 0.23)",UM,0.228787949,0.544144312,0.227067739
2017,Samoa,"(0.33, 0.33, 0.33)",UM,0.333333333,0.333333333,0.333333333
2017,South Africa,"(0.59, 0.14, 0.27)",UM,0.589006461,0.144208259,0.26678528
2017,Suriname,"(0.32, 0.34, 0.34)",UM,0.319148936,0.340425532,0.340425532
2017,Thailand,"(0.54, 0.36, 0.09)",UM,0.542606003,0.364712848,0.09268115
2017,Tonga,"(0.29, 0.36, 0.36)",UM,0.285714286,0.357142857,0.357142857
2017,Turkey,"(0.32, 0.36, 0.32)",UM,0.321888259,0.35886191,0.319249831
2017,Turkmenistan,"(0.36, 0.29, 0.36)",UM,0.357142857,0.285714286,0.357142857
2017,Tuvalu,"(nan, nan, nan)",UM,1,0,0
